o:is_public,o:owner,dcterms:resource_class,o:resource_template,o:item_set,dcterms:title,dcterms:description,bibo:number,bibo:numPages,dcterms:isPartOf,media:link
1,shirmdesign@gmail.com,Collection,Page,13,"""The Burning Bush""",includes six mint stamps,14/08,6,25,14.8.140008.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Crossing The Red Sea""",includes tow souvenir leafs,14/09,2,25,14.9.140009.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""The Crossing Of the Red Sea""",includes one souvenir leaf,14/11,1,25,14.11.140011.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""The Flood""",includes five mine stamps and one stamps block,08/01,6,23,08.01.80001.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""The Flood & Noah's Ark""",includes five mint spamps series,08/02,5,23,08.02.80002.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""The Story Of The Deluge""",includes four mint stamps and one used stamp,08/03,5,23,8.3.80003.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""The Flood""",includes tow mint stamps and tow soucenir leafs,08/04,4,23,8.4.80004.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Noah's Dove""","includes tow mint stamps, one used stamp and day of appearance envelope",08/05,4,23,8.5.80005.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Noah's Dove & The Rainbow""",includes seven mint stamps,08/07,7,23,8.7.80007.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Construction Of The Ark""",includes three mint stamps and one postmark,08/10,4,23,8.10.80010.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Noah's Ark""","includes one used stamp, tow postmarks and one souvenir leaf",08/13,4,23,8.13.80013.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Noah's Ark""","includes tow mint stamps, one souvenir leaf and one stamps block",08/14,4,23,8.14.80014.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""And God Remembered Noah And Every Living Thing""",includes one souvenir leaf,08/16,1,23,8.16.80016.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Noah's Dove""",includes six mint stamps and tow stamps blocks,08/17,8,23,8.17.80017.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Noah's Ark""",includes three used stamps and postmarks and one mint stamp,08/18,4,23,8.18.80018.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""The Bow In The Clouds""",includes eight mint stamps ,08/20,8,23,8.20.80020.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""The Animals Leaving Noah's Ark After The Flood",includes one stamps block,08/22,1,23,8.22.80022.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Noah's Dove""","includes three objects of the same stamp: mint stamp and tow stamps blocks, and one mint stamp",08/26,4,23,8.26.80026.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Mount Ararat""","includes three mint stamps, one used stamp, tow postcards and souvenir leaf",08/27,7,23,8.27.80027.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Mount Ararat""",includes six mint stamps series and one souvenir leaf,08/28,7,23,8.28.80028.jpg
1,shirmdesign@gmail.com,Collection,Page,13,"""Mount Ararat""",includes seven mint stamps and one used stamp and postmark,08/29,8,23,8.29.80029.jpg
