o:is_public,o:owner,dcterms:resource_class,dcterms:isFormatOf,dcterms:number,o:resource_template,o:item_set,dcterms:title,dcterms:description,dcterms:issued,dcterms:language,dcterms:coverage,dcterms:type,dcterms:isPartOf,dcterms:identifier,media:link,dcterms:references
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,818,,Souvenir Sheet,17;14,Walked on dry ground through the sea,CHILDREN DRAW BIBLE STORIES,1994,Hebrew;English;Arabic,Israel,Mint,95,14/07/02,14.7.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,Ten Commandments Movie ,,1994,French,Mali,Mint,115,14/09/01,14.9.1.jpg;14.9.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,Parting Of The Red Sea,Moses leads the Israelites out of slavery in Egypt. 24 stamps sheet.,1994,English,Guyana,Mint,116,14/11/01,14.11.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,2,Stamp Block,16;14,Citta Del Vaticano, Art by Michelangelo,1994,Italian,Vatican,Mint,117,08/01/04,08.01.4.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,The Animals of Noah's Ark ,Three stamps - Part of 25pcs stamps sheet,1997,English,Liberia,Mint,120,08/04/01,8.4.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,Noah's Ark Black-legged Kittiwake,,1998,English,Liberia,Mint,120,08/04/03,8.4.3.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,Treasures of The Hermitage,"Celecrating 300 years of S. Petersburg.  The Building Of Noah's Ark, Art by Guido Reni",Unknown,English,Grenada,Mint,123,08/10/03,8.10.3.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,Noah's Ark,Desigend by Aaron Shebo.  6 stamps sheet,2007,Hebrew;English;Arabic,Israel,Mint,124,08/13/01,8.13.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Republic of Tuva. Russian Federation,,Unknown,Russian,Tuva,Mint,125,08/14/01,8.14.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,The Animals of Noah's Ark ,Single stamp - Part of 25pcs stamps sheet,1997,English,Liberia,Mint,125,08/14/02,8.14.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,The Animals of Noah's Ark ,Single stamp - Part of 25pcs stamps sheet,1997,English,Liberia,Mint,125,08/14/03,8.14.3.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,Noah's Ark ,,1997,English;Russian;Georgian,Batumi ,Mint,125,08/14/04,8.14.4.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,Save The World's Wildlife,12 stamps sheet,1987,English,Tonga,Mint,126,08/16/01,8.16.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,2,Stamp Block,16;14,Christmas Island ,Christmas island indian ocean,1976,English,Australia,Mint,127,08/17/06,8.17.7.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,2,Stamp Block,16;14,Christmas Island ,Christmas island indian ocean,1976,English,Australia,Mint,127,08/17/07,8.17.8.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,4,Stamp Block,16;14,Republic of Tuva. Russian Federation,,Unknown,Russian,Tuva,Mint,130,08/22/01,8.22.1.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,912,6,Stamp Block,16;14,Noah's dove from Jerash,Desinged by Otte Wallish,1950,Hebrew;English;Arabic,Israel,Mint,131,08/26/02,8.26.3.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,The first stamps issued by the new Republic of Armenia ,,1992,Armenian;English,Armenia,Mint,132,08/27/04,8.27.2.jpg,
o:is_public,shirmdesign@gmail.com,dctype:PhysicalObject,,,Souvenir Sheet,17;14,Noah's Ark,"Stamps are from the island nation of St Vincent, in the West Indies.  25 stamps sheet",1989,English,Saint Vincent,Mint,133,08/28/04,8.28.1.jpg,
