o:is_public,o:owner,dcterms:resource_class,o:resource_template,o:item_set,dcterms:title,dcterms:description,dcterms:issued,dcterms:language,dcterms:coverage,dcterms:type,dcterms:isPartOf,dcterms:identifier,media:link,dcterms:references
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"Happy Holidays - ""SUN, MOON AND STARS""",Creation of the world by Genesis book - day four. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint;Used,47;50,05/22/01,5.22.1.jpg;5.22.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"Happy Holidays - ""FISH AND BIRDS""",Creation of the world by Genesis book - day five. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint;Used,48;50,05/23/01,5.23.1.jpg;5.23.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"Happy Holidays - ""HUMAN""",Creation of the world by Genesis book - day six. series of six.,1965,Hebrew;English;French;Arabic,Israel,Mint;Used,49;50,05/24/01,5.24.1.jpg;5.24.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"Protect the Nubian Monuments, 100F","Depicts the Great Temple of Ramses II, UNESCO. Set of two. ",1964,French,Republic of Upper Volta,Mint,51,12/01/01,12.1.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"Protect the Nubian Monuments, 25F","Depicts the Great Temple of Ramses II, UNESCO. Set of two. ",1964,French,Republic of Upper Volta,Mint,51,12/01/02,12.1.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,UNESCO - Save the Monuments of Nubia,The stamp set features statues of Queen Nefertari and Rameses II. Set of two. ,1964,English,Nigeria,Mint,51,12/01/03,12.1.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Uruguay UNESCO Salvar Monumentos de Nubia ,Uruguay UNESCO Salvar Monumentos de Nubia,1964,Spanish,Uruguay,Mint,51,12/01/04,12.1.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,SAUVEZ LES TRESORS DE NUBIE,"YUGOSLAVIA - SAVE NUBIA'S TREASURES, UNESCO.  Set of two. ",1962,French,Jugoslavia,Mint,51,12/01/05,12.1.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Ghana Saving Nubian Monuments Rameses \,"Ghana Saving Nubian Monuments Rameses the Great at Abu Simbel , UNESCO.",1963,English,Ghana,Mint,51,12/01/06,12.1.6.jpg,Abu Simbel;Egypt 
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,United Nations - heritage of mankind,"United Nations - heritage of mankind, UNESCO",1992,German,Vienna,Mint,51,12/01/07,12.1.7.jpg,Abu Simbel;Egypt 
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,GHANA SAVE THE MONUMENTS OF NUBIA ,"GHANA SAVE THE MONUMENTS OF NUBIA, UNESCO",1963,English,Ghana,Mint,51,12/01/08,12.1.8.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Egypt Post Day,,2000,Arabic;English,Egypt,Mint,52,12/02/01,12.2.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,SAUVEGARDE DES MONUMENTS DE NUBIE ,"SAUVEGARDE DES MONUMENTS DE NUBIE TCHAD, UNESCO. Set of three.",1964,French,Tchad,Mint,53,12/03/01,12.3.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,SAUVEGARDE DES MONUMENTS DE NUBIE ,"SAUVEGARDE DES MONUMENTS DE NUBIE TCHAD, UNESCO. Set of three.",1964,French,Tchad,Mint,53,12/03/02,12.3.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,SAUVEGARDE DES MONUMENTS DE NUBIE ,"SAUVEGARDE DES MONUMENTS DE NUBIE TCHAD, UNESCO. Set of three.",1964,French,Tchad,Mint,53,12/03/03,12.3.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,SAUVEGARDE DES MONUMENTS DE NUBIE ,"SAUVEGARDE DES MONUMENTS DE NUBIE ALGERIA, UNESCO.",1964,Arabic;English,Algeria,Mint,53,12/03/04,12.3.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,LET MY PEOPLE GO KKL,Jewish National Fund. Series of four.,1971,Hebrew;English;Spanish;French;Russian,Israel,Mint,54,12/04/01,12.4.8.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,LET MY PEOPLE GO KKL,Jewish National Fund. Series of four.,1971,Hebrew;English,Israel,Mint,54,12/04/02,12.4.9.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,LET MY PEOPLE GO KKL,Jewish National Fund. Series of four.,1971,Hebrew;English,Israel,Mint,54,12/04/03,12.4.10.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,LET MY PEOPLE GO KKL,Jewish National Fund. Series of four.,1971,Hebrew;English;Spanish;French;Russian,Israel,Mint,54,12/04/04,12.4.11.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Western Wall KKL,"Jewish National Fund. Series of four. With ""LET MY PEOPLE GO"" STAMP",1968,Hebrew;English,Israel,Mint,54,12/04/05,12.4.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Western Wall KKL,"Jewish National Fund. Series of four. With ""LET MY PEOPLE GO"" STAMP",1968,Hebrew;English,Israel,Mint,54,12/04/06,12.4.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Western Wall KKL,"Jewish National Fund. Series of four. With ""LET MY PEOPLE GO"" STAMP",1968,Hebrew;English,Israel,Mint,54,12/04/07,12.4.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Western Wall KKL,"Jewish National Fund. Series of four. With ""LET MY PEOPLE GO"" STAMP",1968,Hebrew;English,Israel,Mint,54,12/04/08,12.4.6.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Western Wall KKL,"Jewish National Fund. Series of four. With ""LET MY PEOPLE GO"" STAMP",1968,Hebrew;English,Israel,Mint,54,12/04/09,12.4.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Western Wall KKL,"Jewish National Fund. Series of four. With ""LET MY PEOPLE GO"" STAMP",1968,Hebrew;English,Israel,Mint,54,12/04/10,12.4.7.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Western Wall KKL,"Jewish National Fund. Series of four. With ""LET MY PEOPLE GO"" STAMP",1968,Hebrew;English,Israel,Mint,54,12/04/11,12.4.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"MOSES LET MY PEOPLE GO, KKL",Jewish National Fund. Series of Six. Design by Asher Kalderon,1988,English;Hebrew,Israel,Mint,55,12/05/01,12.5.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"MOSES LET MY PEOPLE GO, KKL",Jewish National Fund. Series of Six. Design by Asher Kalderon,1988,Hebrew;English,Israel,Mint,55,12/05/02,12.5.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Albert John Luthuli - LET MY PEOPLE GO,"BURKINA FASO, 1987,  Albert John Luthuli",1987,French,Burkina Faso,Mint,55,12/05/03,12.5.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,LET MY PEOPLE GO,"Closed door with ""let me people go"" text. Design by Moshe Pereg ",1972,Hebrew;English;Arabic;Russian,Israel,Day of appearance,55,12/05/04,12.5.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Vatican- Save historic monuments in Nubia,INCEPTA NUBIAE MONUMENTIS TUTANDIS. Series of four.,1964,Italian,Vatican,Mint,56,12/06/01,12.6.1.jpg,Rome
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Vatican- Save historic monuments in Nubia,INCEPTA NUBIAE MONUMENTIS TUTANDIS.Series of four.,1964,Italian,Vatican,Mint,56,12/06/02,12.6.2.jpg,Rome
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Vatican- Save historic monuments in Nubia,INCEPTA NUBIAE MONUMENTIS TUTANDIS. Series of four.,1964,Italian,Vatican,Mint,56,12/06/03,12.6.3.jpg,Rome
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Vatican- Save historic monuments in Nubia,INCEPTA NUBIAE MONUMENTIS TUTANDIS. Series of four.,1964,Italian,Vatican,Mint,56,12/06/04,12.6.5.jpg,Rome
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Ramses,Ramses at Fresco of the temple of Abu Simbel in Egypt,1976,English;French,France,Day of appearance,56,12/06/05,12.6.4.jpg,Paris
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Happy Holidays - Let My People Go,design by A. Glazer,1981,Hebrew;English;Arabic,Israel,Mint,57,12/08/01,12.8.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,LET MY PEOPLE GO,"Closed door with ""let me people go"" text. Design by Moshe Pereg ",1972,Hebrew;English;Arabic;Russian ,Israel,Mint,57,12/08/02,12.8.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Let My People Go,,,English,Mew York,Mint,57,12/08/03,12.8.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,LET MY PEOPLE GO KKL,Jewish National Fund. Series of four.,1971,Hebrew;English;Spanish;French;Russian,Israel,Mint,57,12/08/04,12.8.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Labour Day 1967,"The last stamp to be issued for Gaza - June 1, 1967, Labour Day - just before the Six Day War when Israeli captured the Gaza Strip and the Sinai. Set of twom this one is the Egyptian stamp",1967,Arabic;English,,Mint,58,12/09/01,12.9.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Labour Day 1967,"The last stamp to be issued for Gaza - June 1, 1967, Labour Day - just before the Six Day War when Israeli captured the Gaza Strip and the Sinai. Set of two. This one is Gaza equivalent with colour change and ""Palestine"". ",1967,Arabic;English,Palestine,Mint,58,12/09/02,12.9.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Egypt Sphinx,,2004,Arabic;English,Egypt,Mint,58,12/09/03,12.9.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Mighty Hand,,1950,Hebrew;English;Arabic,Israel,Mint,58,12/09/04,12.9.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,prix nobel de litterature 1929,"A stamp printed in Mauritania, shows portrait of German writer Thomas Mann (1875-1955), series ""Nobel prize winners""",1929,English;Arabic,Mauritanie,Mint,79,12/10/03,12.10.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Micromeria Frankusa,Simple stamp desinged by Igal Gabai and Tuvia Kurtz,2006,Hebrew;English;Arabic,Israel,Mint,81,12/13/01,12.13.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,500TH Birth Anniversary of Raphael,Josef interprets the dreams to his brothers. Series of four.,1983,English;Spanish,Grenada,Mint,81,12/13/02,12.13.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Lost Works of Art,Rembrandt van Rijan - Joseph telling dream.  Desinged by Kazimierz Bulik,2009,Polish,Poland,Mint,81,12/13/03,12.13.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,From The Door of Paradise,Lorenzo Ghiberti.  The Finding of Joseph's Cup,2005,Italian,San Marino,Mint,81,12/13/04,12.13.5.jpg,Florence
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Joseph telling his dreams,Rembrandt van Rijan. Series of four.,2007,English,Niue,Mint,81,12/13/05,12.13.6.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Joseph,Tribes stamp - 200 mil - Joseph. Second definitive series,1956,Hebrew;English;Arabic,Israel,Mint,82,12/14/01,12.14.1.jpg;12.14.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,500TH Birth Anniversary of Raphael,Josef interprets the dreams to his brothers. Series of four.,1983,English,Grenada,Mint,82,12/14/03,12.14.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Joseph Explains The Dreams of The Pharaoh,GRENADA GRENADINES.,1992,English;Spanish,Grenada,Mint,82,12/14/04,12.14.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Holidays Ushpizin in Sukkah,"The Visisting Patriarchs, Sukkot. Joseph",1999,Hebrew;English;Arabic,Israel,Mint,82,12/14/05,12.14.6.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Memorial Day,,2010,Hebrew;English;Arabic,Israel,Used,84,12/16/01,12.16.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Bellbell Da Pavia,MUTAWAKELITE KINGDOM - UNESCO - SAVE THE MONUMENTS OF VENICE. Series of six.,1968,Hebrew;English;Arabic,Yemen,Mint,84,12/16/04,12.16.4.jpg,Venice
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,CATHEDRALE AMIENS,,1980,Hebrew;English;Arabic,France,Mint,85,12/17/01,12.17.1.jpg;12.17.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Joseph And Putiphar's Wife,Art by Tintoretto . ,1972,Hebrew;English;Arabic,Fujeira,Mint,86,12/19/01,12.19.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Joseph And Putiphar's Wife,Art by Tintoretto . ,1971,Hebrew;English;Arabic,Paraguay,Day of appearance;Mint;Used,86,12/19/02,12.19.2.jpg;12.19.3.jpg;12.19.2.jpg,Porto;Portugal
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Joseph Telling His Dream,Art by  Giovan Battista Langetti  ,1970,Hebrew;English;Arabic,Hungary,Day of appearance;Mint;Used,87,12/20/01,12.20.1.jpg;12.20.2.jpg;12.20.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Ramses,green - Rameses the 2nd,1959,Hebrew;English;Arabic,Eygpt,Used,88,12/21/01,12.21.2.jpg,Palestine
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Ramses,purple - Rameses the 2nd,1959,Hebrew;English;Arabic,Eygpt,Mint;Used,88,12/21/02,12.21.1.jpg;12.21.3.jpg,Palestine
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Ramses,Rameses the 2nd,1964,Hebrew;English;Arabic,Eygpt,Mint,88,12/21/03,12.21.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Moshe in The Bulrushes,,1994,Hebrew;English;Arabic,Israel,Mint;Day of appearance,89;164,12/23/01,12.23.1.jpg;12.23.2.jpg;12.23.3.jpg;12.24.1.jpg;12.24.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Rameses the 2nd,,1979,Arabic;English,Egypt,Mint,164,12/24/01,12.24.3.jpg;12.24.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Unknown,Unknown,Unknown,Hebrew,Israel,Mint,164,12/24/02,12.24.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,The Israeli,,2008,Hebrew;English;Arabic,Israel,Mint,90;92,12/25/01,12.25.2.jpg;12.27.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Finding of Moses,Art by Tintoretto .  Series of two.,1995,English,Uganda,Mint,90,12/25/02,12.25.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"Aaron is kindness, Moses - truth","Israeli postage stamp issued in honor of the Great Jewish Austrian composer, leader of the Second Viennese School Arnold Schoenberg",1995,Hebrew;English;Arabic,Israel,Mint;Used;Day of appearance,91,12/26/01,12.26.2.jpg;12.26.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,The Amber Room,series of four,2004,Russian;English,Russia,Mint,92,12/27/01,12.27.1.jpg;12.27.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Rameses the 2nd,,1922,Arabic;English,Egypt,Mint;Used,162,12/29/01,12.29.1.jpg;12.29.2.jpg;12.29.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Save The Monuments Of Nubia Unesco,series of four,1964,English,Indonesia,Mint,162,12/29/02,12.29.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Save The Monuments Of Nubia Unesco,series of four,1964,English,Indonesia,Mint,162,12/29/03,12.29.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Save The Nubian Monuments Maldive Islands ,series of eight,1965,English,Maldive Islands ,Mint,162,12/29/04,12.29.6.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Save The Nubian Monuments Maldive Islands ,series of eight,1965,English,Maldive Islands ,Mint,162,12/29/05,12.29.7.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Save The Nubian Monuments Maldive Islands ,series of eight,1965,English,Maldive Islands ,Mint,162,12/29/06,12.29.8.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Save The Nubian Monuments Maldive Islands ,series of eight,1965,English,Maldive Islands ,Mint,162,12/29/07,12.29.9.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"MOSES And The Bush was Not Consumed, KKL",Jewish National Fund. Series of Six. Design by Asher Kalderon,1988,English;Hebrew,Israel,Mint,93,14/02/01,14.2.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,"MOSES And The Bush was Not Consumed, KKL",Jewish National Fund. Series of Six. Design by Asher Kalderon,1988,Hebrew;English,Israel,Mint,93,14/02/02,14.2.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Happy Holidays -And The Bush was Not Consumed,design by A. Glazer,1981,Hebrew;English;Arabic,Israel,Mint,93,14/02/03,14.2.3.jpg;14.2.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Israel and AMALEK,designed by Eli Carmel,1999,Hebrew;English;Arabic,Israel,Used;Day of appearance,94,14/04/01,14.4.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Walked on dry ground through the sea,CHILDREN DRAW BIBLE STORIES,1994,Hebrew;English;Arabic,Israel,Mint;Used;Day of appearance,95,14/07/01,14.7.2.jpg;14.7.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Moses and The Burning Bush,Art by Domenichino,Unknown,English,Tanzania,Mint,96,14/8/01,14.8.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,The Ten Commandment,series of eleven,1971,Spanish,Nicaragua,Mint,96,14/8/02,14.8.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,The Burning Bush,Art by Nicola Froment,1975,French;English,Cameroon,Mint,96,14/8/03,14.8.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,100th anniversary chagall,Art by Marc Chagall,Unknown,English,Grenada,Mint,96,14/8/04,14.8.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Ten Commandments,series of ten,1982,English,Togo,Mint,96,14/8/05,14.8.4.jpg;14.8.6.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,500th Anniversary of The Birth of Michelangelo Bounarroti, Art by Michelangelo Bounarroti. Series of eight,1975,Spanish,Paraguay,Mint,117,08/01/01,08.01.1.jpg,Porto;Portugal
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Michelangelo 1475-1564,500th Birth Anniversary of Michelangelo. Art by Michelangelo. Series of three,1975,Italian,Italy,Mint,117,08/01/02,08.01.3.jpg,Rome
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Michelangelo, Art by Michelangelo,1985,Khmer,Kampuchea,Mint,117,08/01/03,08.01.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Republique democratique du Congo, Art by Michelangelo,2003,French,Congo,Mint,117,08/01/05,08.01.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Guinea-Bissau, Art by Michelangelo,2001,English,Guinea-Bissau,Mint,117,08/01/06,08.01.6.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Happy Holidays - THE ARK FLOATED,Desined by Davis Gerbo.  Series of Five,1969,Hebrew;English;Arabic,Israel,Mint,118,08/02/01,08.02.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Happy Holidays - MAKE YOURSELF AN ARK ,Desined by Davis Gerbo.  Series of Five,1969,Hebrew;English;Arabic,Israel,Mint,118,08/02/02,08.02.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Happy Holidays - INTO THE ARK ,Desined by Davis Gerbo.  Series of Five,1969,Hebrew;English;Arabic,Israel,Mint,118,08/02/03,08.02.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Happy Holidays - THEN HE SENT FORTH A DOVE ,Desined by Davis Gerbo.  Series of Five,1969,Hebrew;English;Arabic,Israel,Mint,118,08/02/04,08.02.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Happy Holidays - BOW IS SEEN ,Desined by Davis Gerbo.  Series of Five,1969,Hebrew;English;Arabic,Israel,Mint,118,08/02/05,08.02.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,UNIONE POSTALE UNIVERSALE,,1974,Italian,Vatican,Mint;Used,119,08/03/01,8.3.1.jpg;8.3.4,Rome
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,The joy of Europe,,1973,Bosnian,Yugoslavia,Mint,119,08/03/02,8.3.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Noe,Design Chosen through Worldwide Youth Competition,1974,Italian,Vatican,Mint,119,08/03/03,8.3.3.jpg,Rome
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,POUR VENICE UNESCO,Depict mosaics from St Mark's Basilica in Venice. Series of three,1972,French,Dahomey,Mint,119,08/03/05,8.3.5.jpg,Venice
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Flood,,1995,Italian,Italy,Mint,120,08/04/02,8.4.2.jpg,Rome
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Day of The Letter,,1998,French,France,Mint,120,08/04/04,8.4.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Search For Peace,Lions Internatilnal,1967,English,United States,Used;Day of appearance;Mint,121,08/05/01,8.5.1.jpg;8.17.5.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Halley's Comet,Series of Four,1986,English,Bhutan,Mint,121,08/05/02,8.5.2.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,The Soviet World Fund celebrates 25th,,1986,Russian;French,Moscow,Used;Day of appearance,121,08/05/03,8.5.3.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,Finland : Music Year     ,"Depicting Children Playing Recorders and ""Ramus Virens Olivarum"" Musical Score, Cathedral Columns and Doves. Sereis fo two",1985,English,Finland ,Mint,121,08/05/04,8.5.4.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,April's 25th,Armed forces movement. Series of three,1974,Portuguese,Portugal,Mint,122,08/07/01,8.7.1.jpg,
o:is_public,shirmdesign@gmail.com,Physical Object,Stamp,15;14,April's 25th,Armed forces movement. Series of three,1974,Portuguese,Portugal,Mint,122,08/07/02,8.7.2.jpg,
